Time, Topic, Event
9:00 - 9:15, MLOps Day Opening, A Welcome Introduction from SEMLA's Director: Prof. Foutse Khomh
9:15 - 9:45, MLOps Challenges, <a href='event/jean-michel-daignan/'>Talk on Navigating the Challenges of ML Deployment in the gaming industry By Jean-Michel Daignan</a>
9:45 - 10:15, MLOps Challenges, <a href='event/alireza-darbehani/'>Talk on Challenges of ML projects in 2023 By Alireza Darbehani</a>
10:15 - 10:30, Break, Morning Coffee
10:30 - 11:00, MLOps Practices, <a href='event/heng-li/'>Talk on Monitoring Machine Learning Applications By Heng Li</a>
11:00 - 11:30, MLOps Practices, <a href='event/alexander-kim/'>Talk on Reproducible ML Experimentation with DVC and VS Code By Alexander Kim</a>
11:30 - 12:00, MLOps Practices, <a href='event/emilio-rivera-landos/'>Talk on Practices for sane MLOps Engineering By Emilio Rivera-Landos</a>
12:00 - 14:00, Break, Lunch & Networking
14:00 - 14:30, MLOps Concepts & Beyond, <a href='event/apurva-misra/'>Talk: Is MLOps basically Data Engineering rebranded? By Apurva Misra</a>
14:30 - 15:00, MLOps Concepts & Beyond, <a href='event/amir-feizpour/'>Talk on The Emergence of KnowledgeOps By Amir Feizpour</a>
15:00 - 15:30, MLOps Concepts & Beyond, <a href='event/weiyi-shang/'>Talk on Advancing State-of-the-art Log Analytics Infrastructures By Weiyi Shang</a>
15:30 - 15:45, Break, Evening Coffee
15:45 - 16:15, MLOps for Responsible AI, <a href='event/david-van-bruwaene/'>Talk on Policy-Driven Monitoring of AI systems By David Van Bruwaene</a>
16:15 - 17:00, MLOps for Responsible AI, Panel on Benefits and Risks of the Rise of LLMs along with LLMOps Implications and Opportunities
